 ,smoc2_fibrosis1,smoc2_fibrosis4,smoc2_normal1,smoc2_normal3,smoc2_fibrosis3,smoc2_normal4,smoc2_fibrosis2
ENSMUSG00000102531,0,1,0,0,0,0,1
ENSMUSG00000103096,0,0,0,0,0,0,0
ENSMUSG00000102279,1,0,0,0,0,0,0
ENSMUSG00000103708,0,0,0,0,2,0,1
ENSMUSG00000104201,0,0,0,1,0,0,0
ENSMUSG00000102434,0,0,0,0,2,0,0
ENSMUSG00000045216,5986,3561,3700,3825,4770,4051,4378
ENSMUSG00000104523,0,0,0,0,0,0,0
ENSMUSG00000102202,22,29,21,27,47,11,27
ENSMUSG00000037470,3653,2679,1541,1467,2713,1729,2952
ENSMUSG00000098752,0,1,0,0,0,0,0
ENSMUSG00000047180,1794,1279,90,177,1545,181,1296
ENSMUSG00000037447,646,441,54,64,497,64,564
ENSMUSG00000102762,3,2,4,2,3,3,2
ENSMUSG00000010453,3209,2659,2823,3000,3135,3739,2548
ENSMUSG00000098680,0,0,0,0,0,0,0
ENSMUSG00000037432,229,190,192,221,230,249,187
ENSMUSG00000001143,1419,963,1081,1210,1197,1175,1205
ENSMUSG00000037408,465,350,839,785,449,989,378
ENSMUSG00000104316,7,2,3,0,2,2,5
ENSMUSG00000106081,0,0,0,0,0,0,0
ENSMUSG00000001138,1279,873,820,868,1085,1018,1021
