"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Up","GO:0007611","learning or memory","86/3006","356/28928",0.241573033707865,2.32475872225586,8.56452731179379,5.48039597447348e-14,1.00033537236446e-12,4.94643508848938e-13,"98388/21367/12227/19225/110648/98660/16181/16819/18227/110876/17754/12010/16176/14266/245537/211612/108012/26570/24088/18049/64378/242202/12801/56710/16476/53418/15565/19085/53324/21333/114142/19242/18430/12288/232370/319352/12444/14812/18733/381979/110891/11816/232975/13491/13654/16000/211323/16795/16412/319984/73181/12362/17967/20897/21983/64085/13051/11548/20317/20292/217124/16400/218038/195208/15466/212937/18212/17260/20620/104111/14281/18163/22142/29813/16402/18574/54720/240057/16440/83433/13653/225872/225870/14283/13380/15566",86
"Up","GO:0045860","positive regulation of protein kinase activity","76/3006","296/28928",0.256756756756757,2.47087806369243,8.6618092737046,5.53431299529173e-14,1.00717927596808e-12,4.98027666388739e-13,"18173/15559/21934/12654/381293/19264/18214/93840/22030/24136/23892/21825/14118/16176/12531/215653/72119/21939/320664/14173/12977/56742/242202/229841/16007/21898/20460/269582/11603/21897/21899/13874/18439/18590/14056/12504/12444/232801/110891/80982/16797/13491/70097/12484/16000/15364/216439/211323/76527/56532/21943/108686/14172/16822/16145/54396/320207/216869/20370/22248/12775/16416/13614/20963/27220/26401/30955/18591/13731/19876/12575/26382/18712/21926/18596/18011",76
"Up","GO:0014812","muscle cell migration","47/3006","138/28928",0.340579710144928,3.27754153528691,9.13265284710866,5.82737082303937e-14,1.05737471176629e-12,5.22848188762891e-13,"18214/16401/19241/50706/14161/20195/67220/14066/18124/21898/18787/18590/16534/233571/16202/13491/16000/16971/18791/14107/71785/14739/16173/22003/14783/20304/16416/21752/17260/21828/16398/20471/19219/18133/15117/17869/22402/17886/18591/11504/11629/13078/13653/70417/18596/16952/19091",47
"Up","GO:0030574","collagen catabolic process","24/3006","41/28928",0.585365853658537,5.63322136215374,10.1096399920439,5.96848177584869e-14,1.07978462334159e-12,5.33929389728927e-13,"14089/17391/17395/13038/13040/26561/23948/74048/17385/19152/58223/17390/16412/17387/17381/17392/17384/17394/234911/17393/216725/17534/13039/240047",24
"Up","GO:0002548","monocyte chemotaxis","26/3006","48/28928",0.541666666666667,5.21268573963185,9.94702065149435,6.77693177256948e-14,1.2224388988579e-12,6.04468744172528e-13,"240873/74748/23892/66166/17096/17965/15945/18787/232983/17925/16854/21943/13051/12768/12772/20296/20293/20290/20304/20302/18133/18591/14289/11629/27226/16952",26
"Up","GO:0048146","positive regulation of fibroblast proliferation","34/3006","79/28928",0.430379746835443,4.14172498884088,9.52200188123185,6.97138909158608e-14,1.25382783867148e-12,6.19989874142908e-13,"14268/18214/107771/13555/12428/18176/16476/12571/14284/18595/13874/18787/18590/21803/17863/16000/15364/12567/71785/12306/16878/18053/23834/16416/20698/268697/17869/18591/14114/12575/21815/16149/18596/70445",34
"Up","GO:0043299","leukocyte degranulation","37/3006","92/28928",0.402173913043478,3.87028840868987,9.38996287452472,7.37871636818554e-14,1.32320665163982e-12,6.54296148253079e-13,"246256/14127/12523/19215/20375/12229/17096/18124/19204/14191/11745/56743/72310/14159/16190/16797/12721/16409/74732/16414/15368/15227/24046/12772/18806/16859/20302/380732/217303/70450/20963/14063/12652/19354/105855/442827/17916",37
"Up","GO:0002224","toll-like receptor signaling pathway","33/3006","75/28928",0.44,4.23430472388556,9.55054184323214,7.47560623372026e-14,1.33667326622176e-12,6.60955088517664e-13,"71398/279572/170744/170743/24088/20201/20202/21898/100340/21897/21899/14581/414084/19695/20128/54123/73914/239081/81897/17874/16362/216869/327957/217303/246746/16364/212937/12524/80859/225471/54445/14283/83490",33
"Up","GO:0051347","positive regulation of transferase activity","87/3006","364/28928",0.239010989010989,2.30010309052225,8.50023442373529,7.50572714427289e-14,1.3367121734791e-12,6.60974327287804e-13,"18173/15559/21934/12654/381293/19264/18214/93840/67121/22030/24136/23892/21825/14118/16176/12531/215653/228775/72119/21939/320664/14173/12977/56742/242202/229841/16007/21898/20460/107995/269582/11603/21897/21899/13874/18439/18590/69263/14056/12504/12444/232801/110891/11816/66412/80982/18817/16797/13491/70097/12484/16000/15364/216439/211323/76527/56532/21943/108686/14172/16822/16145/54396/320207/216869/20370/22248/12775/16416/13614/20963/27220/26401/30955/72107/18591/13731/19876/214901/12575/26382/18712/21926/83433/16149/18596/18011",87
"Up","GO:0001916","positive regulation of T cell mediated cytotoxicity","30/3006","63/28928",0.476190476190476,4.58258087000602,9.69376370468797,7.51941463965906e-14,1.3367121734791e-12,6.60974327287804e-13,"19264/16963/12010/12479/18439/19294/52118/670558/77777/379043/667281/19368/19369/19370/56554/15216/223601/14972/21355/100504404/14964/15006/15013/15015/110557/15018/110558/15007/14991/14990",30
"Up","GO:0010811","positive regulation of cell-substrate adhesion","48/3006","144/28928",0.333333333333333,3.20780660900421,9.04437654143204,8.0097268414854e-14,1.4197588069026e-12,7.02039033474884e-13,"26921/14268/20163/21825/277360/320664/192176/20194/12977/16007/107581/22417/12571/100952/13406/20750/19242/14115/50918/20130/14343/56546/16202/94214/83436/15227/16412/21838/12501/16400/16416/70450/18073/56320/64075/268780/15117/17886/18591/14114/16402/13731/67896/320712/12837/64074/58217/58859",48
"Up","GO:0033674","positive regulation of kinase activity","78/3006","310/28928",0.251612903225806,2.42137660163544,8.56805611042254,8.26475339103308e-14,1.45785646536042e-12,7.20877475040699e-13,"18173/15559/21934/12654/381293/19264/18214/93840/22030/24136/23892/21825/14118/16176/12531/215653/72119/21939/320664/14173/12977/56742/242202/229841/16007/21898/20460/269582/11603/21897/21899/13874/18439/18590/14056/12504/12444/232801/110891/80982/16797/13491/70097/12484/16000/15364/216439/211323/76527/56532/21943/108686/14172/16822/16145/54396/320207/216869/20370/22248/12775/16416/13614/20963/27220/26401/30955/18591/13731/19876/12575/26382/18712/21926/83433/16149/18596/18011",78
"Up","GO:0098813","nuclear chromosome segregation","81/3006","328/28928",0.246951219512195,2.37651526215861,8.53781753479306,8.27220039043579e-14,1.45785646536042e-12,7.20877475040699e-13,"381293/12316/66977/108000/381318/18005/59126/228421/12236/51944/76464/108907/215387/12235/72119/66934/71878/20878/192176/16571/102920/70099/20957/56742/229841/14579/14211/73804/107995/52276/108911/21335/54392/50883/208628/50878/11461/56150/110958/211651/68298/12447/233406/18817/110033/67141/12534/67177/73420/219114/72400/67629/71819/68014/12442/22137/209737/70385/20877/14841/23834/21973/103768/70218/11799/69716/268697/60411/76044/26934/105988/223970/100502766/72415/18140/67052/70799/66468/67849/16319/16551",81
"Up","GO:0007088","regulation of mitotic nuclear division","44/3006","125/28928",0.352,3.38744377910845,9.10922082718707,9.66158628014499e-14,1.69783692424439e-12,8.39542454323562e-13,"12487/98733/66977/12236/76464/108907/12235/16176/241764/229841/107995/52276/22629/13874/208628/56150/434130/18817/17345/67141/16000/58994/219114/108912/77744/67629/12649/68014/22137/70385/20877/14841/20698/11799/13614/69716/268697/18591/21926/67052/18596/70799/66468/16319",44
"Up","GO:0034109","homotypic cell-cell adhesion","37/3006","93/28928",0.397849462365591,3.82867240429535,9.30413670469236,1.10316293378805e-13,1.93305664940631e-12,9.55853357065675e-13,"20720/12628/26570/70839/74012/99571/14161/110135/73182/16194/17096/14726/16193/100952/18595/12527/18793/27027/12484/14065/208936/21943/17967/214058/56193/20304/16416/56745/20963/16852/13052/246707/13506/70417/108101/19091/12495",37
"Up","GO:0030324","lung development","69/3006","259/28928",0.266409266409266,2.56376821646283,8.60850873273657,1.16199651276628e-13,2.03034889253436e-12,1.00396219921417e-12,"98711/12825/12654/93840/14118/14178/12156/14734/14173/26570/381489/21923/74777/14726/14284/18595/666279/18590/114142/12638/16950/17313/19227/21803/243931/52377/21412/14219/12833/17172/16000/15364/14632/21853/58994/68790/15227/20390/17387/14463/17381/20897/12306/19378/21813/16878/14172/216725/20692/16400/20682/15223/207607/14634/18109/20666/15375/21809/17263/30051/21926/71461/74123/106522/14465/16948/18596/17126/15242",69
"Up","GO:2000516","positive regulation of CD4-positive, alpha-beta T cell activation","26/3006","49/28928",0.530612244897959,5.10630439800671,9.79647958203221,1.30084348677058e-13,2.26649804101249e-12,1.1207326810365e-12,"12487/16963/15284/20371/74131/16186/192656/16193/108723/83408/243910/16190/12484/12501/16173/21813/12772/16362/216799/12775/12522/105855/12703/80859/100504404/16952",26
"Up","GO:0032606","type I interferon production","48/3006","146/28928",0.328767123287671,3.16386405271648,8.92601985361591,1.44456182556213e-13,2.50977271279676e-12,1.24102657505427e-12,"20846/56489/215243/71586/20612/18968/170744/170743/24088/19260/229900/230073/21898/100038882/17472/246728/246727/23961/23960/246730/14255/78781/19698/22177/66412/54123/15900/16391/16365/17381/214763/81897/22036/17874/19696/171285/16362/16145/54396/327959/80861/16647/20963/14251/19280/72512/12475/225471",48
"Up","GO:0032479","regulation of type I interferon production","47/3006","141/28928",0.333333333333333,3.20780660900421,8.94920206686466,1.44896779709956e-13,2.51031624282814e-12,1.24129533852032e-12,"20846/56489/215243/71586/20612/18968/170744/170743/24088/19260/229900/230073/21898/100038882/17472/246728/246727/23961/23960/246730/14255/78781/19698/22177/66412/54123/15900/16365/17381/214763/81897/22036/17874/19696/171285/16362/16145/54396/327959/80861/16647/20963/14251/19280/72512/12475/225471",47
"Up","GO:0045581","negative regulation of T cell differentiation","28/3006","57/28928",0.491228070175439,4.72729395011147,9.59206452693691,1.89220057068249e-13,3.26173432431841e-12,1.61285480418467e-12,"12477/240873/15284/12505/20371/12578/230738/12399/14190/56744/14357/15507/16950/16768/12515/243910/16190/14728/12400/16362/57765/15223/14634/16852/12703/12394/16149/16952",28
"Up","GO:2000116","regulation of cysteine-type endopeptidase activity","59/3006","205/28928",0.28780487804878,2.76966716972559,8.65895650776007,1.89332695166697e-13,3.26173432431841e-12,1.61285480418467e-12,"240690/20846/51800/19225/14103/383619/102639543/545384/236312/226691/100040462/15950/107771/332579/12505/21825/12125/13011/17395/20201/20202/18049/14066/16007/192656/13841/16600/326623/12578/16818/16792/215114/56644/378425/170770/18793/13033/171580/11783/12362/12047/216799/18053/11799/20963/432763/14062/17948/17951/17952/17940/17869/54483/22061/19876/12018/16912/21926/58801",59
