"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"ENSMUSG00000100444",3.75104226116089,-2.17126536927356,1.28485006327627,0.00387855075133335,0.00938195088056743,NA
"ENSMUSG00000055322",31819.9158932001,-1.06569123903419,0.0911473874977081,3.12841957938385e-32,5.70368350089461e-31,"Tns1"
"ENSMUSG00000061815",163.036351723464,-3.06603720633476,0.261836209112141,1.87860166832463e-32,3.46463168128508e-31,"Rufy4"
"ENSMUSG00000026179",1681.09558326322,-1.50522804797611,0.171119133632389,1.70237782162731e-19,1.68383110133854e-18,"Pnkd"
"ENSMUSG00000103013",11.0170903548008,-1.38187182401257,0.6276769997548,0.00271131951730696,0.00675827311615245,NA
"ENSMUSG00000026205",666.899342102792,-1.60970165360171,0.18470821729147,3.13383838095276e-19,3.05105258937223e-18,"Slc23a3"
"ENSMUSG00000026200",2829.1978298428,-1.05725432965575,0.140712545955218,1.19366333589948e-14,8.64718681283785e-14,"Glb1l"
"ENSMUSG00000026202",3063.9672298501,-1.68058955809162,0.098891488503021,9.06537756501206e-66,6.93377200469107e-64,"Tuba4a"
"ENSMUSG00000090486",2437.19276177037,-1.30722396638577,0.180806521307108,7.5842043336233e-14,5.21026206050885e-13,NA
"ENSMUSG00000012187",739.550329443316,-1.34973363130802,0.213388730452428,3.65386022846306e-11,2.06857577547513e-10,"Mogat1"
"ENSMUSG00000067158",6825.80016604651,-1.6301762250248,0.0936682682233269,7.99866113529719e-69,6.81840067922624e-67,"Col4a4"
"ENSMUSG00000079465",6262.33140977857,-2.24039411805888,0.173323666991034,4.37849608144201e-39,1.08896805660274e-37,"Col4a3"
"ENSMUSG00000097564",31.272193239941,-1.92078217059649,0.350114307841034,3.97253669016816e-09,1.92040334281852e-08,NA
"ENSMUSG00000038496",431.45774539896,-1.76097954983161,0.208452591868207,2.94587883564334e-18,2.70420295582648e-17,"Slc19a3"
"ENSMUSG00000073633",296.960987300955,-1.09958525366111,0.243607817620218,1.04204467201919e-06,4.04396623890124e-06,"Fbxo36"
"ENSMUSG00000026220",438.547708641225,-1.90611664622871,0.322681970949648,3.40220394231975e-10,1.80101499994713e-09,"Slc16a14"
"ENSMUSG00000026255",2606.29178195776,-1.64399121882512,0.136559763217034,2.3022118202257e-34,4.61144383793011e-33,"Efhd1"
"ENSMUSG00000026259",1552.19854662288,-1.81124252552361,0.142634353056341,5.93323134645486e-38,1.40522575707023e-36,"Ngef"
"ENSMUSG00000079434",191.715202672202,-1.39075396425676,0.17699599154937,5.51086741901811e-16,4.37238520156305e-15,"Neu2"
"ENSMUSG00000083478",282.330905622998,-2.82374605657947,0.263525517603495,1.48961928506834e-27,2.19598396783607e-26,"Gm15375"
"ENSMUSG00000090165",736.704831855509,-1.11883853092332,0.291387286455593,1.81815226026726e-05,6.1872028920934e-05,"Ugt1a10"
"ENSMUSG00000090175",132.173459679819,-2.14637130050835,0.27493967206554,6.6513941171873e-16,5.23071254272046e-15,"Ugt1a9"
"ENSMUSG00000054545",127.327637662214,-1.69952076137118,0.264478933995534,1.33746696699312e-11,7.82782684507975e-11,"Ugt1a6a"
"ENSMUSG00000090171",6163.34240892946,-3.57110088480632,0.486191013457897,2.02092597829836e-14,1.44294631711367e-13,"Ugt1a2"
"ENSMUSG00000089960",44.3453935175663,-2.75413448049713,0.353608855198866,1.02709422509698e-15,7.9816013999012e-15,"Ugt1a1"
"ENSMUSG00000026295",3261.19173590293,-4.22348907082727,0.211124609284067,2.78142290657849e-90,5.22019320970789e-88,"Spp2"
"ENSMUSG00000026301",4.98782473221494,-1.31734379180763,0.939581145985193,0.018949674475293,0.0392927332402928,"Iqca1"
"ENSMUSG00000100850",29.3899803984103,-3.13949588610644,0.71355775586509,8.29333741639804e-07,3.25238626616038e-06,NA
